percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.04,4,0,G1,656088,Mycoplasma mycoides group,kraken2_basic
0.03,3,0,S,2102,Mycoplasma mycoides,kraken2_basic
0.03,3,3,S1,40477,Mycoplasma mycoides subsp. capri,kraken2_basic
0.01,1,0,S,2095,Mycoplasma capricolum,kraken2_basic
0.01,1,0,S1,40479,Mycoplasma capricolum subsp. capricolum,kraken2_basic
0.01,1,1,S2,340047,Mycoplasma capricolum subsp. capricolum ATCC 27343,kraken2_basic
0.01,1,0,S,51365,Mycoplasma yeatsii,kraken2_basic
0.01,1,1,S1,743967,Mycoplasma yeatsii GM274B,kraken2_basic
0.04,4,0,O,186329,Acholeplasmatales,kraken2_basic
0.04,4,0,F,2146,Acholeplasmataceae,kraken2_basic
0.04,4,0,G,33926,Candidatus Phytoplasma,kraken2_basic
0.01,1,0,G1,85625,16SrV (Elm yellows group),kraken2_basic
0.01,1,1,S,399025,Candidatus Phytoplasma rubi,kraken2_basic
0.01,1,0,G1,85630,16SrX (Apple proliferation group),kraken2_basic
0.01,1,1,S,37692,Candidatus Phytoplasma mali,kraken2_basic
0.01,1,0,G1,3042590,16SrI (Aster yellows group),kraken2_basic
0.01,1,1,S,85620,Candidatus Phytoplasma asteris,kraken2_basic
0.01,1,0,G1,3098986,unclassified Candidatus Phytoplasma,kraken2_basic
0.01,1,1,S,2155,Phytoplasma sp.,kraken2_basic
0.32,32,0,O,2790996,Mycoplasmoidales,kraken2_basic
0.31,31,0,F,2895623,Metamycoplasmataceae,kraken2_basic
0.15,15,1,G,2767358,Mycoplasmopsis,kraken2_basic
0.03,3,3,S,171281,Mycoplasmopsis citelli,kraken2_basic
0.02,2,2,S,2109,Mycoplasmopsis synoviae,kraken2_basic
0.02,2,2,S,29561,Mycoplasmopsis meleagridis,kraken2_basic
0.01,1,1,S,114880,Mycoplasmopsis columbinasalis,kraken2_basic
0.01,1,1,S,55603,Mycoplasmopsis caviae,kraken2_basic
0.01,1,1,S,171284,Mycoplasmopsis cynos,kraken2_basic
0.01,1,1,S,171279,Mycoplasmopsis anatis,kraken2_basic
