percent,reads_clade,reads_taxon,rank,taxid,name,db_name
0.01,1,0,F,1903410,Pectobacteriaceae,pluspf
0.01,1,0,G,204037,Dickeya,pluspf
0.01,1,1,S,1089444,Dickeya solani,pluspf
0.38,38,0,O,135623,Vibrionales,pluspf
0.38,38,0,F,641,Vibrionaceae,pluspf
0.38,38,1,G,662,Vibrio,pluspf
0.34,34,34,S,666,Vibrio cholerae,pluspf
0.01,1,1,S,3098914,Vibrio iocasae,pluspf
0.01,1,1,S,92172,Vibrio aerogenes,pluspf
0.01,1,1,S,55601,Vibrio anguillarum,pluspf
0.21,21,0,O,2887326,Moraxellales,pluspf
0.21,21,0,F,468,Moraxellaceae,pluspf
0.19,19,1,G,469,Acinetobacter,pluspf
0.16,16,0,G1,909768,Acinetobacter calcoaceticus/baumannii complex,pluspf
0.15,15,15,S,470,Acinetobacter baumannii,pluspf
0.01,1,1,S,106654,Acinetobacter nosocomialis,pluspf
0.01,1,1,S,2715163,Acinetobacter lanii,pluspf
0.01,1,1,S,1879050,Acinetobacter wuhouensis,pluspf
0.01,1,0,G,2824158,Aquirhabdus,pluspf
0.01,1,1,S,2283318,Aquirhabdus parva,pluspf
0.01,1,0,G,3444169,Lwoffella,pluspf
0.01,1,1,S,90241,Lwoffella lincolnii,pluspf
0.03,3,0,O,135625,Pasteurellales,pluspf
0.03,3,0,F,712,Pasteurellaceae,pluspf
0.02,2,0,G,2899790,Mergibacter,pluspf
0.02,2,2,S,221402,Mergibacter septicus,pluspf
0.01,1,0,G,2094023,Glaesserella,pluspf
0.01,1,1,S,738,Glaesserella parasuis,pluspf
0.02,2,0,O,72274,Pseudomonadales,pluspf
0.02,2,0,F,135621,Pseudomonadaceae,pluspf
0.02,2,1,G,286,Pseudomonas,pluspf
0.01,1,0,G1,196821,unclassified Pseudomonas,pluspf
0.01,1,1,S,75692,Pseudomonas sp. 273,pluspf
0.02,2,0,C1,118884,Gammaproteobacteria incertae sedis,pluspf
0.02,2,0,F,3399801,Candidatus Pseudothioglobaceae,pluspf
0.01,1,0,G,2738885,Candidatus Thiodubiliella,pluspf
0.01,1,1,S,2738886,Candidatus Thiodubiliella endoseptemdiera,pluspf
0.01,1,0,G,2841677,Candidatus Pseudothioglobus,pluspf
0.01,1,0,G1,3072908,unclassified Candidatus Pseudothioglobus,pluspf
0.01,1,1,S,3230997,Candidatus Pseudothioglobus sp. Uisw_050_01,pluspf
0.02,2,0,O,135624,Aeromonadales,pluspf
0.02,2,0,F,84642,Aeromonadaceae,pluspf
0.02,2,1,G,642,Aeromonas,pluspf
